frame,solvent,rg,hbonds,rmsd_to_water_medoid,rmsd_to_hexane_medoid,pc1,pc2,pc3,cluster
0,water,5.714880834490386,1.0,1.8653060123681333,3.788490186613756,-0.1342271636715519,0.10413874296364078,-0.2306150356451265,3
1,water,5.970948821632063,0.0,1.3117763033564733,3.7118868231987863,-0.40887786108699237,0.5206938007800204,1.1438062196602603,3
2,water,5.682309792742926,1.0,1.269142628012195,3.33651700495952,0.16580426557178918,-0.11290652527491057,-0.30110156884926476,5
3,water,5.639241273731293,1.0,0.6938380948026543,2.8891461211219416,-0.9536032348175998,1.6883160581739889,-0.5048892931627273,4
4,water,5.960817963336302,1.0,0.4385716287984675,3.075930691736871,-0.8480279197515297,1.1647800195196134,0.3581888423523142,4
5,water,5.966123824698222,1.0,0.8026934001406031,2.9966690584679343,-0.5374659960580086,1.4180579690501047,-0.17142305417304368,6
6,water,6.201207936711864,1.0,0.693544533787442,3.094904846599781,-1.1130709816997553,1.168979023578762,0.6884819420753033,4
7,water,6.153753707068187,1.0,0.5443208215912705,3.269590064216532,-0.8448295654461717,1.0555485355737435,1.1286937075757946,4
8,water,5.813874611817841,1.0,0.40204443390407757,2.893655527371386,-0.7856100346243848,1.631159210224243,-0.03493488346077692,4
9,water,5.799872902230901,1.0,0.42044400686603706,2.860826379853887,-0.44872935378441375,1.742199104564918,0.42125663584798334,4
10,water,5.808081528066717,2.0,0.7368845911331394,2.6207427036722506,-0.7617592006893088,1.7413585180974887,-0.5450100066399426,4
11,water,5.878894486620555,1.0,0.8836268295084058,2.8452450171275276,-0.8015290772493318,1.6153758277370276,-0.4149723083447574,6
12,water,5.782275860409978,1.0,0.37679320131428734,3.0309961035904758,-0.8929570715461088,1.5341704154815972,-0.2012452953138839,4
13,water,6.050734982139887,1.0,0.8166744760154484,3.154277353189867,-0.7296536624558511,1.6494720300873664,-0.15943292066396242,6
14,water,5.996592530436819,1.0,0.3993452383507677,3.226371808140727,-0.7454357273612269,1.687409700166626,-0.04736410477254721,4
15,water,5.8410096318174505,1.0,0.8222363913347926,3.240554086805965,-0.35262036745585956,1.3043106987049038,0.043718523843380486,5
16,water,5.822925311186685,1.0,0.5022859358416684,3.0919550039335406,-1.1477053665835348,1.2706833236518567,-0.11991675797744858,4
17,water,5.8752107114072905,1.0,0.9939491462197005,3.6998442480967455,-0.6141233316923941,1.6281841343123236,0.22811552974443872,6
18,water,5.802759070040737,1.0,0.6776030349417155,2.6981371048701774,-0.7127644468794531,1.6071610317714542,-0.3205824444708085,4
19,water,5.726595975747397,1.0,0.5116416281391738,2.844348343580974,-0.6604379554061119,1.708110270511903,-0.2259707916653159,4
20,water,5.688849615675522,1.0,0.6796374091174002,3.098129910615811,-0.8535476263010511,1.5598468563145589,0.2993029099402229,4
21,water,5.739819412339047,1.0,0.7591095393233308,2.977710856228326,-0.7646093109460224,1.5012880955359582,0.5568477618352154,4
22,water,5.740687572263786,1.0,0.5028694448706921,2.9467766955476864,-0.8849566379903133,1.686965519016726,-0.20963862541240763,4
23,water,5.727789883443263,1.0,0.9729390058819561,3.0880236341725222,-0.7255885184574714,1.4566092007718217,0.1894582841074126,5
24,water,5.787124834402985,1.0,0.521138719946859,3.0238944846680265,-1.101602149611609,1.789657314717371,-0.09803222190689763,4
25,water,5.728315425843605,1.0,0.5653336185125049,3.229152967278025,-0.5012961037084396,1.3774760341585832,-0.9177833368291464,4
26,water,5.931076061973291,1.0,0.6268624646466445,2.9070790834748923,-0.8351195404931349,1.3725583428884136,0.0312712410013061,4
27,water,5.681494812225868,1.0,0.7543278185121983,3.0418067744750465,-0.959611771952788,1.3146459201119025,0.3347097830062733,4
28,water,5.848902969426314,1.0,0.0,3.110966889052852,-1.0186402539095603,1.644081453764198,-0.23643691850758752,4
29,water,5.742115175718298,1.0,0.635830992806998,2.9510436199329595,-0.8831593687631796,1.4921000648315996,-0.2515277526024591,4
30,water,6.169677609471121,1.0,0.997110992542311,2.9145993792321407,-0.9921796576437034,0.8916534880918892,0.7952767243556325,4
31,water,5.965538595896267,1.0,0.7694413864116014,3.3700551464675272,-0.33843005449432095,1.3493732360309671,-0.27320446810555865,6
32,water,5.758008524779903,1.0,0.5522310409857066,3.1041230929686843,-1.099197687247384,1.5331771054525263,-0.03893338962678072,4
33,water,5.902031608109082,1.0,0.34256626584443045,2.9574918925316735,-0.6483165447028456,1.5032445173316922,0.2803027822446659,4
34,water,5.891988845607542,2.0,0.8440196174964006,2.612143879769338,-0.5478720308682364,1.1013479843223288,-0.45080273721884223,4
35,water,5.738357964552536,1.0,0.7319846094413096,2.9047455220078118,-0.9633476230859173,1.6612011483095739,-0.5944077790864617,4
36,water,5.908349390267898,1.0,0.8424177604725578,3.2963163074140014,-0.5136846348996503,1.448776979908224,0.29386072558706494,6
37,water,5.932598635973517,2.0,0.5278280790174149,2.7926604583623735,-0.5699162048721595,1.471573285706872,0.15784701636034165,4
